Name,Album Artist,Spotify URI
Tycoon,Future,spotify:track:05TpY5Fov3Hgfp8V1KILZ8
Accepting My Flaws,Future,spotify:track:6n6CmyLTCIXJCPZnv7h2rn
Over Your Head,Future & Lil Uzi Vert,spotify:track:7JsuXl9Odf3V38ksu4FWDZ
I'M ON ONE,Future,spotify:track:6wyhUr4Xw8z5uSy0AhoZfU
Type Shit,Future & Metro Boomin,spotify:track:28drn6tQo95MRvO0jQEo5C
Like That,Future & Metro Boomin,spotify:track:2tudvzsrR56uom6smgOcSf
Where My Twin @,Future & Metro Boomin,spotify:track:30TcFxtFyju8isK6Hjo9KY
fukumean,Gunna,spotify:track:4rXLjWdF2ZZpXCVTfWcshS
Top Off,Gunna,spotify:track:0HCnj7pfrvshnocOJUFeit
Drip Too Hard,Lil Baby & Gunna,spotify:track:78QR3Wp35dqAhFEc2qAGjE
Speed It Up,Gunna,spotify:track:6PfI6EeLNiNGVAVg11nv7D
DOLLAZ ON MY HEAD,Gunna,spotify:track:3nS9a01VvXHQriLqJYwRqG
Slatty,"Young Stoner Life, Young Thug & Gunna",spotify:track:0ky8syPEVEfD7qCxMTW49X
Ski,"Young Stoner Life, Young Thug & Gunna",spotify:track:6755DFiZ7CWe2WMdTGW5C1
Diamonds Dancing,"Young Stoner Life, Young Thug & Gunna",spotify:track:7uZqvqXzzYMKrexKxdcGmd
pushin P,Gunna,spotify:track:3XOalgusokruzA5ZBA2Qcb
poochie gown,Gunna,spotify:track:3daUZMkia3HT0E7xITejR6
George Bondo,Westside Gunn,spotify:track:2TMmxS4qWwfZ5h2xwaDFsY
Kostas,Westside Gunn,spotify:track:30hui0n0IE1y699MAEPNGp
Anza,Conway the Machine,spotify:track:2BCbaompY94bwNCd3RuX4q
8am in Charlotte,Drake,spotify:track:0w3Mfe4PIVjuFjJbe3OlYv
Michael Irvin,Westside Gunn,spotify:track:6BZFzi6roce3ZBQ6dq13f7
Melo Chip and a Brick,Stove God Cooks,spotify:track:4OBPoAmeVVf6ywgCVv4uqn
Self Luh,Mach-Hommy,spotify:track:1y25NZliEmmg7OCqDf9o1I
LOST FOREVER,Travis Scott,spotify:track:7EiUtdeoWcKqLi5ELZCjYf
Brand New 911,Joey Bada$$,spotify:track:1SJnJJmrqRyE8YSdhEtbPv
KITCHEN LIGHTS,Westside Gunn,spotify:track:4mlP10ICLhXt2QmUf0GkpB
No Problems,Westside Gunn,spotify:track:16hqSZBx0km8synWDQUiiP
DEVASTATED,Joey Bada$$,spotify:track:4PnNzWe1LJoAMD5j5RHpI0
Show Me,Joey Bada$$,spotify:track:2uuJs2nltcYFh9pkKP7bW4
Cruise Control,Joey Bada$$,spotify:track:53NLq6SSyKSkLBdWkoYrE7
Written in the Stars,Joey Bada$$,spotify:track:73WQYVyUw0YZshyzYKFhe3
Hardknock,Joey Bada$$,spotify:track:3QbsrWxq3JyNov94VzbNdB
Pennyroyal,Joey Bada$$,spotify:track:2miKV8OiAhmZPjhCzgRnvw
Righteous Minds,Joey Bada$$,spotify:track:7dFGkZbmm6cVlI28bfMaWE
Blue,PETZ,spotify:track:6hbHNlBB2XLrMcnHZKYFKa
Put in Work,Jin Dogg,spotify:track:2MoHB6gFtDGxp0pSv3Mmec
On My Mama,Jin Dogg,spotify:track:2HgIhfsdUxpabGytuTe5VF
Little Demon,Jin Dogg,spotify:track:7CUCACujkdOjAfMpYGYdsJ
Never Get It,"OVER KILL, Jin Dogg & XLARGE",
Feel or Beef Badpop Is Dead,Namedarumaaz,
Sunset,Namedarumaaz,
Walkin,Namedarumaaz,
Pledge,Namedarumaaz,
Good Day,Namedarumaaz,
Space Ball,Namedarumaaz,
Lost Bubblers,Namedarumaaz,
Rock tha Boat,Namedarumaaz,
100Millions,Namedarumaaz,
Floatin',Namedarumaaz,
Allday,Namedarumaaz,
Graydaychilling,Namedarumaaz,
365days,ASHURAMIC,spotify:track:0wqlqWs5g9ZxkqgcAS1BdU
Kotodama,ASHURAMIC,
Blue Berry,Japanese Magenese,spotify:track:6c8fLHSPhYK714ei5SvwQq
Rykey Daddy Dirty,RYKEYDADDYDIRTY,spotify:track:7z0ESUJx4oV9rm0j8QDKBy
It's Not Easy,RYKEYDADDYDIRTY,spotify:track:2B9ythDeCeT9BVVpOXnndN
Tell Me Bad Babylon,RYKEYDADDYDIRTY,spotify:track:1j6VMFuePR4TfuAu3xDhiC
